"index"	"date"	"open"	"closed"	"difference"
2392	Dec 19 2011	1596.40	1594.40	2
2393	Dec 16 2011	1587.40	1595.60	-8.2
2394	Dec 15 2011	1571.40	1574.60	-3.2
2395	Dec 14 2011	1636.50	1584.30	52.2
2396	Dec 13 2011	1654.70	1659.90	-5.2
2397	Dec 12 2011	1707.50	1664.20	43.3
2398	Dec 09 2011	1713.30	1712.80	0.5
2399	Dec 08 2011	1742.00	1709.80	32.2
2400	Dec 07 2011	1730.60	1740.90	-10.3
2401	Dec 06 2011	1722.10	1727.90	-5.8
2402	Dec 05 2011	1748.90	1730.70	18.2
2403	Dec 02 2011	1744.80	1747.00	-2.2
2404	Dec 01 2011	1747.00	1735.30	11.7
2405	Nov 30 2011	1714.00	1745.50	-31.5
2406	Nov 29 2011	1711.30	1713.40	-2.1
2407	Nov 28 2011	1710.80	1710.80	0
2408	Nov 25 2011	1690.10	1685.50	4.6
2409	Nov 23 2011	1691.20	1695.70	-4.5
2410	Nov 22 2011	1675.40	1702.20	-26.8
2411	Nov 21 2011	1704.60	1678.30	26.3
2412	Nov 18 2011	1725.00	1724.70	0.3
2413	Nov 17 2011	1755.30	1719.80	35.5
2414	Nov 16 2011	1777.50	1773.80	3.7
2415	Nov 15 2011	1779.20	1781.70	-2.5
2416	Nov 14 2011	1779.00	1777.80	1.2
2417	Nov 11 2011	1777.00	1787.50	-10.5
2418	Nov 10 2011	1766.80	1758.90	7.9
2419	Nov 09 2011	1793.00	1790.90	2.1
2420	Nov 08 2011	1798.40	1798.40	0
2421	Nov 07 2011	1755.30	1790.30	-35
2422	Nov 03 2011	1757.00	1755.30	1.7
2423	Nov 02 2011	1740.50	1764.20	-23.7
2424	Nov 01 2011	1724.30	1728.70	-4.4
2425	Oct 31 2011	1706.70	1711.00	-4.3
2426	Oct 27 2011	1752.00	1746.20	5.8
2427	Oct 26 2011	1717.80	1746.70	-28.9
2428	Oct 25 2011	1717.00	1722.70	-5.7
2429	Oct 24 2011	1645.00	1699.60	-54.6
2430	Oct 20 2011	1626.10	1635.10	-9
2431	Oct 19 2011	1643.20	1611.90	31.3
2432	Oct 18 2011	1659.30	1646.00	13.3
2433	Oct 17 2011	1666.00	1651.70	14.3
2434	Oct 13 2011	1665.80	1681.80	-16
2435	Oct 12 2011	1676.10	1667.30	8.8
2436	Oct 11 2011	1667.10	1681.30	-14.2
2437	Oct 10 2011	1685.00	1659.70	25.3
2438	Oct 06 2011	1657.00	1634.50	22.5
2439	Oct 05 2011	1642.60	1651.90	-9.3
2440	Oct 04 2011	1629.30	1640.30	-11
