"index"	"date"	"open"	"closed"	"difference"
2030	Aug 27 2013	1.3392	1.3392	0
2031	Aug 26 2013	1.3378	1.3379	-0.0001
2032	Aug 22 2013	1.3356	1.3355	0.0001
2033	Aug 21 2013	1.3343	1.3343	0
2034	Aug 20 2013	1.3421	1.3421	0
2035	Aug 19 2013	1.3336	1.3334	0.0002
2036	Aug 15 2013	1.3351	1.3354	-0.0003
2037	Aug 14 2013	1.3266	1.3264	0.0002
2038	Aug 13 2013	1.3267	1.3266	0.0001
2039	Aug 12 2013	1.3294	1.3293	0.0001
2040	Aug 08 2013	1.3379	1.3380	-0.0001
2041	Aug 07 2013	1.3338	1.3341	-0.0003
2042	Aug 06 2013	1.3306	1.3308	-0.0002
2043	Aug 05 2013	1.3259	1.3258	0.0001
2044	Aug 01 2013	1.3213	1.3212	0.0001
2045	Jul 31 2013	1.3301	1.3301	0
2046	Jul 30 2013	1.3266	1.3265	0.0001
2047	Jul 29 2013	1.3264	1.3264	0
2048	Jul 25 2013	1.3276	1.3274	0.0002
2049	Jul 24 2013	1.3191	1.3191	0
2050	Jul 23 2013	1.3223	1.3223	0
2051	Jul 22 2013	1.3190	1.3190	0
2052	Jul 18 2013	1.3110	1.3111	-0.0001
2053	Jul 17 2013	1.3116	1.3117	-0.0001
2054	Jul 16 2013	1.3153	1.3151	0.0002
2055	Jul 15 2013	1.3061	1.3059	0.0002
2056	Jul 11 2013	1.3098	1.3098	0
2057	Jul 10 2013	1.3176	1.3188	-0.0012
2058	Jul 09 2013	1.2783	1.2782	0.0001
2059	Jul 08 2013	1.2870	1.2871	-0.0001
2060	Jul 03 2013	1.3009	1.3011	-0.0002
2061	Jul 01 2013	1.3069	1.3068	0.0001
2062	Jun 27 2013	1.3035	1.3036	-0.0001
2063	Jun 26 2013	1.3015	1.3013	0.0002
2064	Jun 25 2013	1.3080	1.3080	0
2065	Jun 24 2013	1.3131	1.3132	-0.0001
2066	Jun 20 2013	1.3237	1.3236	0.0001
2067	Jun 19 2013	1.3287	1.3292	-0.0005
2068	Jun 18 2013	1.3388	1.3390	-0.0002
2069	Jun 17 2013	1.3363	1.3363	0
2070	Jun 13 2013	1.3368	1.3368	0
2071	Jun 12 2013	1.3339	1.3340	-0.0001
2072	Jun 11 2013	1.3224	1.3224	0
2073	Jun 10 2013	1.3224	1.3224	0
2074	Jun 06 2013	1.3244	1.3246	-0.0002
2075	Jun 05 2013	1.3093	1.3093	0
2076	Jun 04 2013	1.3073	1.3073	0
2077	Jun 03 2013	1.3073	1.3073	0
2078	May 30 2013	1.3043	1.3044	-0.0001
2079	May 29 2013	1.2948	1.2948	0
2080	May 28 2013	1.2847	1.2846	0.0001
2081	May 23 2013	1.2924	1.2925	-0.0001
2082	May 22 2013	1.2844	1.2842	0.0002
2083	May 21 2013	1.2920	1.2919	0.0001
2084	May 20 2013	1.2892	1.2891	0.0001
2085	May 16 2013	1.2883	1.2883	0
2086	May 15 2013	1.2884	1.2882	0.0002
2087	May 14 2013	1.2937	1.2937	0
2088	May 13 2013	1.2988	1.2988	0
2089	May 09 2013	1.3034	1.3034	0
2090	May 08 2013	1.3161	1.3161	0
2091	May 07 2013	1.3077	1.3077	0
2092	May 06 2013	1.3075	1.3070	0.0005
2093	May 02 2013	1.3065	1.3065	0
2094	May 01 2013	1.3182	1.3182	0
2095	Apr 30 2013	1.3169	1.3168	0.0001
2096	Apr 29 2013	1.3096	1.3096	0
2097	Apr 25 2013	1.3007	1.3007	0
2098	Apr 24 2013	1.3017	1.3017	0
2099	Apr 23 2013	1.2994	1.2994	0
2100	Apr 22 2013	1.3060	1.3062	-0.0002
2101	Apr 18 2013	1.3053	1.3053	0
2102	Apr 17 2013	1.3034	1.3035	-0.0001
2103	Apr 16 2013	1.3179	1.3179	0
2104	Apr 15 2013	1.3052	1.3055	-0.0003
2105	Apr 11 2013	1.3115	1.3115	0
2106	Apr 10 2013	1.3053	1.3055	-0.0002
2107	Apr 09 2013	1.3080	1.3080	0
2108	Apr 08 2013	1.3029	1.3029	0
2109	Apr 04 2013	1.2927	1.2928	-0.0001
2110	Apr 03 2013	1.2850	1.2850	0
2111	Apr 02 2013	1.2821	1.2821	0
2112	Apr 01 2013	1.2850	1.2850	0
2113	Mar 27 2013	1.2860	1.2860	0
2114	Mar 26 2013	1.2860	1.2858	0.0002
2115	Mar 25 2013	1.3024	1.3024	0
2116	Mar 21 2013	1.2940	1.2942	-0.0002
2117	Mar 20 2013	1.2865	1.2864	0.0001
2118	Mar 19 2013	1.2945	1.2945	0
2119	Mar 18 2013	1.2898	1.2893	0.0005
2120	Mar 14 2013	1.2958	1.2958	0
2121	Mar 13 2013	1.3029	1.3029	0
2122	Mar 12 2013	1.3032	1.3033	-0.0001
2123	Mar 11 2013	1.2989	1.2988	0.0001
2124	Mar 08 2013	1.3111	1.3111	0
2125	Mar 07 2013	1.2979	1.2979	0
2126	Mar 06 2013	1.3048	1.3049	-0.0001
2127	Mar 05 2013	1.3036	1.3036	0
2128	Mar 04 2013	1.3017	1.3017	0
2129	Mar 01 2013	1.3062	1.3060	0.0002
2130	Feb 28 2013	1.3151	1.3151	0
2131	Feb 27 2013	1.3069	1.3066	0.0003
2132	Feb 26 2013	1.3065	1.3065	0
2133	Feb 25 2013	1.3194	1.3196	-0.0002
2134	Feb 22 2013	1.3194	1.3194	0
2135	Feb 21 2013	1.3273	1.3273	0
2136	Feb 20 2013	1.3396	1.3396	0
2137	Feb 19 2013	1.3349	1.3347	0.0002
2138	Feb 15 2013	1.3353	1.3353	0
2139	Feb 14 2013	1.3444	1.3444	0
2140	Feb 13 2013	1.3452	1.3452	0
2141	Feb 12 2013	1.3403	1.3404	-0.0001
2142	Feb 11 2013	1.3367	1.3368	-0.0001
2143	Feb 08 2013	1.3385	1.3389	-0.0004
2144	Feb 07 2013	1.3523	1.3524	-0.0001
2145	Feb 06 2013	1.3583	1.3581	0.0002
2146	Feb 05 2013	1.3511	1.3512	-0.0001
2147	Feb 04 2013	1.3647	1.3649	-0.0002
2148	Feb 01 2013	1.3611	1.3611	0
2149	Jan 31 2013	1.3569	1.3568	0.0001
2150	Jan 30 2013	1.3492	1.3492	0
2151	Jan 29 2013	1.3448	1.3446	0.0002
2152	Jan 28 2013	1.3466	1.3466	0
2153	Jan 25 2013	1.3369	1.3369	0
2154	Jan 24 2013	1.3308	1.3308	0
2155	Jan 23 2013	1.3316	1.3314	0.0002
2156	Jan 22 2013	1.3310	1.3312	-0.0002
2157	Jan 18 2013	1.3373	1.3373	0
2158	Jan 17 2013	1.3291	1.3291	0
2159	Jan 16 2013	1.3310	1.3308	0.0002
2160	Jan 15 2013	1.3378	1.3378	0
2161	Jan 14 2013	1.3360	1.3362	-0.0002
2162	Jan 11 2013	1.3273	1.3273	0
2163	Jan 10 2013	1.3054	1.3055	-0.0001
2164	Jan 09 2013	1.3084	1.3082	0.0002
2165	Jan 08 2013	1.3123	1.3125	-0.0002
2166	Jan 07 2013	1.3068	1.3067	0.0001
2167	Jan 04 2013	1.3031	1.3033	-0.0002
2168	Jan 03 2013	1.3184	1.3182	0.0002
2169	Jan 02 2013	1.3198	1.3198	0
